Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia,Suma
24954,20812,23656,24736,24147,25690,28534,25643,30953,34855,29762,32457,27183.25,326199
12175,10237,12195,12802,12980,14150,14023,12055,15409,18456,15317,14551,13695.833,164350
12779,10575,11461,11934,11167,11540,14511,13588,15544,16399,14445,17906,13487.417,161849
45,43,44,47,54,61,75,66,63,70,54,65,57.25,687
2651,3367,3250,3657,3383,3684,3458,2501,2896,3609,3096,4303,3321.25,39855
27650,24222,26950,28440,27584,29435,32067,28210,33912,38534,32912,36825,30561.75,366741
655137.363,593718.097,724579.759,655656.878,612188.697,634866.771,755414.68,631916.442,683965.601,757866.282,662012.852,695954.034,671939.788,8063277.456
519196.672,476079.656,597412.491,545120.919,519474.216,550275.43,654145.477,537348.395,577360.138,651506.614,559861.557,584301.579,564340.262,6772083.144
135940.69,117638.441,127167.268,110535.958,92714.481,84591.342,101269.203,94568.046,106605.463,106359.668,102151.296,111652.455,107599.526,1291194.311
1640.272,1576.786,1442.491,1658.359,2851.721,2072.122,1927.309,2237.87,2018.722,2930.038,2831.052,2205.027,2115.981,25391.769
24750.78,30337.115,31411.62,35284.386,27531.328,33441.923,32738.076,26051.776,34657.622,35595.627,31642.549,47139.417,32548.518,390582.219
681528.414,625631.997,757433.87,692599.623,642571.746,670380.817,790080.065,660206.087,720641.945,796391.947,696486.454,745298.477,706604.287,8479251.442
26.254,28.528,30.63,26.506,25.353,24.713,26.474,24.643,22.097,21.743,22.244,21.442,25.052,300.627
42.644,46.506,48.988,42.581,40.021,38.889,46.648,44.575,37.469,35.301,36.552,40.155,41.694,500.329
10.638,11.124,11.096,9.262,8.303,7.33,6.979,6.96,6.858,6.486,7.072,6.235,8.195,98.343
36.45,36.669,32.784,35.284,52.81,33.969,25.697,33.907,32.043,41.858,52.427,33.923,37.319,447.821
9.336,9.01,9.665,9.648,8.138,9.078,9.467,10.417,11.967,9.863,10.22,10.955,9.814,117.764
24.648,25.829,28.105,24.353,23.295,22.775,24.638,23.403,21.25,20.667,21.162,20.239,23.364,280.364
