Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia,Suma
219090,214631,237793,232886,227659,245194,247920,229874,264851,281880,234403,274845,242585.5,2911026
92514,95559,102896,93651,91961,103895,97303,96434,112350,119036,93139,108059,100566.417,1206797
126576,119072,134897,139235,135698,141299,150617,133440,152501,162844,141264,166786,142019.083,1704229
149,131,136,141,139,150,198,135,157,171,113,139,146.583,1759
5482,8081,7625,7126,7413,7408,7809,7142,7701,7688,7709,9353,7544.75,90537
341,1458,1765,1340,1482,1579,1972,1490,1777,1568,1532,1350,1471.167,17654
5141,6623,5860,5786,5931,5829,5837,5652,5924,6120,6177,8003,6073.583,72883
224721,222843,245554,240153,235211,252752,255927,237151,272709,289739,242225,284337,250276.833,3003322
1774132.683,1682020.584,1811919.178,1699167.192,1613021.839,1909925.256,1770005.251,1734506.975,2089479.35,2109192.319,1726611.391,2045275.045,1830438.088,21965257.063
1420546.802,1390368.9,1494990.545,1368342.676,1290789.583,1562681.976,1399910.081,1388976.337,1705776.003,1715038.124,1388260.325,1603885.076,1477463.869,17729566.428
353585.881,291651.684,316928.633,330824.516,322232.257,347243.28,370095.17,345530.637,383703.347,394154.195,338351.065,441389.969,352974.219,4235690.634
1266.093,1089.986,1537.133,1812.927,3047.397,3729.596,4526.531,3386.834,5610.322,4072.649,2363.044,1962.063,2867.048,34404.575
316220.976,395887.412,331532.395,345013.479,305433.485,282121.38,346187.603,338701.698,349165.478,368213.692,437188.278,346941.621,346883.958,4162607.497
5.299,100.203,12.766,132.738,101.585,116.951,104.312,117.167,263.648,312.587,96.104,309.375,139.395,1672.735
316109.687,395787.209,331264.301,344880.742,305331.9,282004.429,346083.29,338584.531,348901.83,367901.105,437092.174,346632.246,346714.454,4160573.444
2091619.753,2078997.982,2144988.706,2045993.598,1921502.722,2195776.232,2120719.384,2076595.507,2444255.149,2481478.661,2166162.713,2394178.728,2180189.095,26162269.135
8.098,7.837,7.62,7.296,7.085,7.789,7.139,7.545,7.889,7.483,7.366,7.442,7.546,90.589
15.355,14.55,14.529,14.611,14.036,15.041,14.387,14.403,15.183,14.408,14.905,14.843,14.691,176.251
2.793,2.449,2.349,2.376,2.375,2.458,2.457,2.589,2.516,2.42,2.395,2.646,2.485,29.823
8.497,8.321,11.302,12.858,21.924,24.864,22.861,25.088,35.735,23.817,20.912,14.116,19.559,230.295
57.684,48.99,43.48,48.416,41.202,38.083,44.332,47.424,45.34,47.895,56.711,37.094,45.977,556.651
0.016,0.069,0.007,0.099,0.069,0.074,0.053,0.079,0.148,0.199,0.063,0.229,0.095,1.105
61.488,59.76,56.53,59.606,51.481,48.38,59.291,59.905,58.896,60.115,70.761,43.313,57.086,689.526
9.308,9.329,8.735,8.52,8.169,8.687,8.286,8.756,8.963,8.565,8.943,8.42,8.711,104.681
