Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia,Suma
237640,239073,279983,271016,263521,275209,279153,260593,278998,290360,273118,325847,272875.917,3274511
102951,99920,115021,108526,108281,106656,109498,102100,107589.418,114027,105089,127646,108942.035,1307304.418
134689,139153,164962,162490,155240,168553,169655,158493,171408.582,176333,168029,198201,163933.882,1967206.582
150,130,150,153,131,139,188,148,147,181,140,148,150.417,1805
6550,8700,8542,8289,8045,8501,8745,7820,8973,8676,8718,11461,8585,103020
1352,1815,1585,1666,1457,1747,2079,1701,1950,1707,1700,2082,1736.75,20841
5198,6885,6957,6623,6588,6754,6666,6119,7023,6969,7018,9379,6848.25,82179
244340,247903,288675,279458,271697,283849,288086,268561,288118,299217,281976,337456,281611.333,3379336
1964852.575,1903743.739,2045725.533,1879850.638,1996985.013,2032117.579,1996796.251,1655821.234,1888906.521,1958956.113,1775696.124,2146519.147,1937164.206,23245970.467
1606747.515,1580020.753,1675172.915,1529044.983,1650701.786,1656789.026,1623894.039,1326417.155,1499457.458,1580617.012,1413595.436,1711184.53,1571136.884,18853642.608
358105.06,323722.986,370552.618,350805.655,346283.227,375328.553,372902.212,329404.079,389449.064,378339.1,362100.687,435334.617,366027.321,4392327.858
4667.996,1780.979,1994.129,2346.61,3555.287,3753.392,4883.026,4242.926,2168.583,8737.138,2148.478,2065.69,3528.686,42344.234
276217.362,351318.128,323191.381,332195.039,232448.13,260338.186,270515.223,245633.567,319407.513,373195.674,256321.859,291201.665,294331.977,3531983.727
704.908,313.399,261.366,311.136,127.292,170.899,124.471,114.193,245.02,624.268,206.055,959.273,346.856,4162.28
275512.454,351004.73,322930.015,331883.904,232320.838,260167.287,270390.752,245519.375,319162.493,372571.406,256115.804,290242.392,293985.121,3527821.45
2245737.933,2256842.846,2370911.043,2214392.287,2232988.43,2296209.157,2272194.5,1905697.728,2210482.618,2340888.925,2034166.46,2439786.502,2235024.869,26820298.429
8.268,7.963,7.307,6.936,7.578,7.384,7.153,6.354,6.77,6.747,6.502,6.588,7.099,85.55
15.607,15.813,14.564,14.089,15.245,15.534,14.83,12.991,13.937,13.862,13.451,13.406,14.422,173.329
2.659,2.326,2.246,2.159,2.231,2.227,2.198,2.078,2.272,2.146,2.155,2.196,2.233,26.893
31.12,13.7,13.294,15.337,27.14,27.003,25.974,28.668,14.752,48.271,15.346,13.957,23.459,229.742
42.171,40.381,37.836,40.077,28.893,30.624,30.934,31.411,35.597,43.015,29.401,25.408,34.284,415.748
0.521,0.173,0.165,0.187,0.087,0.098,0.06,0.067,0.126,0.366,0.121,0.461,0.2,2.432
53.004,50.981,46.418,50.111,35.264,38.52,40.563,40.124,45.445,53.461,36.494,30.946,42.929,521.331
9.191,9.104,8.213,7.924,8.219,8.09,7.887,7.096,7.672,7.823,7.214,7.23,7.937,87.573
