Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia,Suma
124278,131447,150102,138741,154978,152554,146570,143607,150046,156663,162944,175862,148982.667,1787792
71693,79420,85865,76498,94606,87722,81172,78931,81632,87482,91901,91330,84021,1008252
52585,52027,64237,62243,60372,64832,65398,64676,68414,69181,71043,84532,64961.667,779540
78,83,88,85,83,91,98,92,91,97,82,89,88.083,1057
3836,5091,4983,4799,5065,5190,5075,4992,5146,5642,5471,7514,5233.667,62804
128192,136621,155173,143625,160126,157835,151743,148691,155283,162402,168497,183465,154304.417,1851653
1415823.971,1436749.258,1727936.162,1551474.08,1595501.537,1538073.104,1581880.663,1695110.874,1760318.635,1819696.23,1865965.729,1813786.819,1650193.088,19802317.062
1231676.823,1272425.004,1530784.423,1347856.634,1402459.584,1327159.262,1363350.438,1463509.867,1489960.969,1603730.762,1636566.07,1525311.206,1432899.254,17194791.042
184147.148,164324.254,197151.738,203617.445,193041.953,210913.842,218530.225,231601.007,270357.666,215965.468,229399.659,288475.613,217293.835,2607526.018
3030.34,3935.905,3709.834,4947.719,6164.84,7210.48,5594.302,2490.267,4338.081,4929.808,3005.192,3314.743,4389.293,52671.511
159820.981,177192.449,193385.132,185183.549,180155.183,168481.554,197599.215,192995.096,230060.975,258791.137,225407.496,267608.26,203056.752,2436681.027
1578675.292,1617877.612,1925031.128,1741605.347,1781821.561,1713765.138,1785074.179,1890596.237,1994717.691,2083417.175,2094378.416,2084709.822,1857639.133,22291669.598
11.392,10.93,11.512,11.183,10.295,10.082,10.793,11.804,11.732,11.615,11.452,10.314,11.076,133.104
17.18,16.021,17.828,17.62,14.824,15.129,16.796,18.542,18.252,18.332,17.808,16.701,17.054,205.033
3.502,3.158,3.069,3.271,3.198,3.253,3.342,3.581,3.952,3.122,3.229,3.413,3.345,40.09
38.851,47.421,42.157,58.208,74.275,79.236,57.085,27.068,47.671,50.823,36.649,37.244,49.831,596.688
41.663,34.805,38.809,38.588,35.569,32.463,38.936,38.661,44.707,45.869,41.2,35.615,38.798,466.885
12.315,11.842,12.406,12.126,11.128,10.858,11.764,12.715,12.846,12.829,12.43,11.363,12.039,144.622
