Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia,Suma
267213,270986,302574,292702,277328,313801,278516,282537,300369,303101,315694,334909,294977.5,3539730
112262,109966,121827,114207,106601,128768,106994,106154,113380,109070,121045,118675,114079.083,1368949
154951,161020,180747,178495,170727,185033,171522,176383,186989,194031,194649,216234,180898.417,2170781
146,138,135,153,147,165,172,157,152,158,141,156,151.667,1820
7330,9726,9400,8978,9137,10242,9225,8844,9472,9684,9674,13152,9572,114864
1637,2025,2009,1810,1581,2270,1961,2174,2379,2314,2212,2523,2074.583,24895
5693,7701,7391,7168,7556,7972,7264,6670,7093,7370,7462,10629,7497.417,89969
274689,280850,312109,301833,286612,324208,287913,291538,309993,312943,325509,348217,304701.167,3656414
1844506.275,1857546.262,2106124.544,2010609.825,1828032.512,2131409.489,1963313.752,1933406.561,2051645.112,1814579.6,1912847.4,2156934.837,1967579.681,23610956.169
1496409.426,1536654.772,1744290.782,1670768.851,1472602.44,1746494.85,1603021.025,1549730.252,1675253.6,1461181.906,1540302.799,1705573.181,1600190.324,19202283.884
348096.849,320891.49,361833.763,339840.974,355430.072,384914.639,360292.727,383676.308,376391.512,353397.694,372544.601,451361.656,367389.357,4408672.285
1976.111,2277.684,1980.537,2396.685,2805.657,7348.05,4504.456,4741.912,2179.749,4484.8,2263.2,3770.307,3394.096,40729.148
231023.296,382419.057,390996.831,397603.987,365730.436,343902.117,388989.928,392115.829,394322.82,397431.5,420617.4,404876.483,375835.807,4510029.684
496.874,183.136,158.172,183.693,199.445,205.936,186.546,190.228,155.664,184.418,422.884,350.029,243.085,2917.025
230526.422,382235.921,390838.66,397420.293,365530.992,343696.181,388803.382,391925.602,394167.156,397247.082,420194.516,404526.454,375592.722,4507112.661
2077505.682,2242243.004,2499101.913,2410610.496,2196568.605,2482659.656,2356808.137,2330264.302,2448147.681,2216495.9,2335728,2565581.627,2346809.583,28161715.003
6.903,6.855,6.961,6.869,6.592,6.792,7.049,6.843,6.83,5.987,6.059,6.44,6.67,80.18
13.33,13.974,14.318,14.629,13.814,13.563,14.982,14.599,14.776,13.397,12.725,14.372,14.027,168.479
2.246,1.993,2.002,1.904,2.082,2.08,2.101,2.175,2.013,1.821,1.914,2.087,2.031,22.338
13.535,16.505,14.671,15.665,19.086,44.534,26.189,30.203,14.34,28.385,16.051,24.169,22.379,263.333
31.518,39.319,41.595,44.286,40.027,33.578,42.167,44.337,41.63,41.04,43.479,30.784,39.264,473.76
0.304,0.09,0.079,0.101,0.126,0.091,0.095,0.088,0.065,0.08,0.191,0.139,0.117,1.449
40.493,49.635,52.88,55.444,48.376,43.113,53.525,58.759,55.571,53.901,56.311,38.059,50.096,606.067
7.563,7.984,8.007,7.987,7.664,7.658,8.186,7.993,7.897,7.083,7.176,7.368,7.702,92.566
