Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia
206319,193305,213759,201372,218373,218719,222541,219048,220652,245528,217397,216291,216108.667
105292,98446,109074,96375,113160,110443,109367,106253,109300,116125,100341,94236,105701
101027,94859,104685,104997,105213,108276,113174,112795,111352,129403,117056,122055,110407.667
123,95,120,132,122,125,144,123,117,148,129,117,124.583
5486,6789,6399,6432,6470,6404,6422,6459,6246,6819,6559,8359,6570.333
211928,200189,220278,207936,224965,225248,229107,225630,227015,252495,224085,224767,222803.583
1818347.749,1745875.233,1911180.944,1575608.033,1697060.679,1776775.797,1793453.127,1755548.792,1652405.142,1874554.467,1824439.872,1894463.589,1776642.785
1542923.128,1512515.102,1659143.777,1326984.803,1447749.825,1521122.406,1525169.945,1503088.908,1395449.309,1572997.115,1539192.914,1583325.437,1510805.222
275424.62,233360.131,252037.167,248623.23,249310.853,255653.391,268283.182,252459.884,256955.833,301557.352,285246.958,311138.153,265837.563
2071.834,2084.692,4637.903,2787.924,3112.893,4461.733,5237.613,5942.706,8115.819,4388.844,4344.201,2614.952,4150.093
231704.712,258868.349,280780.077,300355.748,292403.135,270599.44,356785.968,366290.94,315332.52,398017.165,281874.384,202159.037,296264.29
2052124.295,2006828.274,2196598.925,1878751.705,1992576.707,2051836.97,2155476.708,2127782.437,1975853.482,2276960.476,2110658.457,2099237.578,2077057.168
8.813,9.032,8.941,7.824,7.771,8.124,8.059,8.014,7.489,7.635,8.392,8.759,8.221
14.654,15.364,15.211,13.769,12.794,13.773,13.945,14.146,12.767,13.546,15.34,16.802,14.293
2.726,2.46,2.408,2.368,2.37,2.361,2.371,2.238,2.308,2.33,2.437,2.549,2.408
16.844,21.944,38.649,21.121,25.516,35.694,36.372,48.315,69.366,29.654,33.676,22.35,33.312
42.236,38.131,43.879,46.697,45.194,42.255,55.557,56.71,50.486,58.369,42.975,24.185,45.091
9.683,10.025,9.972,9.035,8.857,9.109,9.408,9.43,8.704,9.018,9.419,9.34,9.322
