Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia
149255,150645,182283,162097,170917,180893,184398,214181,217449,202222,207185,225851,187281.333
83529,84115,101244,85657,90513,96389,100937,108654,113846,99714,102889,106988,97872.917
65726,66530,81039,76440,80404,84504,83461,105527,103603,102508,104296,118863,89408.417
89,80,102,94,86,97,133,108,117,124,103,116,104.083
4902,6151,6030,5748,5709,5901,5642,5956,6264,6510,6509,8548,6155.833
154246,156876,188415,167939,176712,186891,190173,220245,223830,208856,213797,234515,193541.25
1799429.837,1763764.016,2058892.814,1811787.689,1832694.392,1942742.428,1796365.306,1805772.457,1938089.63,1712984.264,1817261.611,1917370.008,1849762.871
1575033.311,1562347.533,1800789.045,1563982.859,1579748.502,1660008.663,1536521.833,1533966.823,1671708.581,1446751.212,1540105.977,1595695.212,1588888.296
224396.526,201416.483,258103.769,247804.83,252945.89,282733.765,259843.473,271805.634,266381.049,266233.053,277155.634,321674.796,260874.575
3173.107,3547.832,3059.893,2761.197,3119.414,3035.421,5791.254,5956.739,4077.592,5620.825,2135.747,2855.668,3761.224
201365.523,223565.639,227145.609,197683.396,257695.763,314079.957,380786.748,344052.853,340738.142,295565.93,279045.251,209827.922,272629.394
2003968.467,1990877.487,2289098.316,2012232.281,2093509.569,2259857.806,2182943.308,2155782.049,2282905.365,2014171.02,2098442.61,2130053.598,2126153.489
12.056,11.708,11.295,11.177,10.723,10.74,9.742,8.431,8.913,8.471,8.771,8.49,9.877
18.856,18.574,17.787,18.259,17.453,17.222,15.223,14.118,14.684,14.509,14.969,14.915,16.234
3.414,3.027,3.185,3.242,3.146,3.346,3.113,2.576,2.571,2.597,2.657,2.706,2.918
35.653,44.348,29.999,29.374,36.272,31.293,43.543,55.155,34.851,45.329,20.735,24.618,36.137
41.078,36.346,37.669,34.392,45.139,53.225,67.491,57.766,54.396,45.402,42.871,24.547,44.288
12.992,12.691,12.149,11.982,11.847,12.092,11.479,9.788,10.199,9.644,9.815,9.083,10.986
