Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia,Suma
102766,105999,114653,113067,105726,116185,123517,108992,123820,127277,123159,144539,117475,1409700
60160,65364,68237,66469,61248,65987,71455,60943,71569,73488,70621,77465,67750.5,813006
42606,40635,46416,46598,44478,50198,52062,48049,52251,53789,52538,67074,49724.5,596694
76,75,71,77,71,84,104,87,89,100,70,81,82.083,985
4342,5002,4503,4709,4518,4533,4372,4390,4559,4859,4664,6248,4724.917,56699
107184,111076,119227,117853,110315,120802,127993,113469,128468,132236,127893,150868,122282,1467384
1393752.974,1321438.482,1440933.82,1286337.751,1180051.006,1252414.12,1405123.317,1197494.668,1446594.055,1323493.498,1300754.061,1523434.79,1339318.545,16071822.542
1220241.265,1152720.626,1262091.636,1107922.598,1011780.667,1060299.282,1197869.177,1023030.277,1263278.306,1125466.362,1108671.751,1286700.723,1151672.722,13820072.67
173511.709,168717.857,178842.183,178415.153,168270.34,192114.838,207254.14,174464.391,183315.749,198027.136,192082.311,236734.067,187645.823,2251749.874
2978.784,2828.683,2878.389,2995.189,2925.239,3457.643,5500.718,5282.448,3232.977,3638.54,4386.387,2806.994,3575.999,42911.991
258309.566,172305.074,122312.783,164409.142,149041.387,122803.948,164774.894,198835.173,194779.919,201354.451,205788.085,200805.364,179626.649,2155519.786
1655041.324,1496572.24,1566124.992,1453742.083,1332017.633,1378675.71,1575398.929,1401612.289,1644606.951,1528486.489,1510928.533,1727047.147,1522521.193,18270254.32
13.562,12.467,12.568,11.377,11.161,10.779,11.376,10.987,11.683,10.399,10.562,10.54,11.401,137.461
20.283,17.635,18.496,16.668,16.519,16.068,16.764,16.787,17.651,15.315,15.699,16.61,16.999,204.495
4.072,4.152,3.853,3.829,3.783,3.827,3.981,3.631,3.508,3.682,3.656,3.529,3.774,45.503
39.195,37.716,40.541,38.899,41.201,41.162,52.892,60.718,36.326,36.385,62.663,34.654,43.565,522.352
59.491,34.447,27.163,34.914,32.988,27.091,37.689,45.293,42.724,41.439,44.123,32.139,38.017,459.501
15.441,13.473,13.136,12.335,12.075,11.413,12.308,12.352,12.802,11.559,11.814,11.447,12.451,150.155
