Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia,Suma
31868,30843,37820,33520,37198,37315,42412,42742,44136,45447,47638,53050,40332.417,483989
16962,17211,21800,18158,21385,20223,23782,24184,24570,25553,26723,28216,22397.25,268767
14906,13632,16020,15362,15813,17092,18630,18558,19566,19894,20915,24834,17935.167,215222
57,59,68,63,64,68,73,75,68,67,60,70,66,792
2910,3325,3493,3164,3244,3336,3166,2813,3165,2952,3086,3856,3209.167,38510
34835,34227,41381,36747,40506,40719,45651,45630,47369,48466,50784,56976,43607.583,523291
750212.602,712100.567,892573.072,850288.71,887259.856,897322.367,814681.583,929048.745,883620.326,961559.391,978968.448,1060226.535,884821.85,10617862.202
663590.535,637850.852,804673.924,776773.663,805459.885,813489.109,726930.266,844248.67,794780.32,867478.874,878997.168,944396.572,796555.82,9558669.838
86622.067,74249.715,87899.148,73515.047,81799.97,83833.258,87751.317,84800.076,88840.005,94080.517,99971.28,115829.963,88266.03,1059192.363
1169.379,1609.784,2640.381,3283.676,5497.795,3317.688,1578.039,1749.045,1939.669,1373.69,2538.909,2084.81,2398.572,28782.865
33879.401,39374.701,47239.279,42406.627,47255.76,63055.161,48651.337,51941.973,67758.191,38348.574,55898.935,56181.353,49332.608,591991.292
785261.382,753085.052,942452.732,895979.012,940013.41,963695.216,864910.96,982739.763,953318.186,1001281.655,1037406.293,1118492.699,936553.03,11238636.36
23.541,23.088,23.601,25.367,23.852,24.047,19.209,21.736,20.02,21.158,20.55,19.985,22.18,266.154
39.122,37.061,36.912,42.779,37.665,40.226,30.566,34.909,32.348,33.948,32.893,33.47,35.992,431.899
5.811,5.447,5.487,4.786,5.173,4.905,4.71,4.569,4.541,4.729,4.78,4.664,4.967,59.602
20.515,27.284,38.829,52.122,85.903,48.79,21.617,23.321,28.525,20.503,42.315,29.783,36.626,439.507
11.642,11.842,13.524,13.403,14.567,18.901,15.367,18.465,21.409,12.991,18.114,14.57,15.4,184.795
22.542,22.003,22.775,24.382,23.207,23.667,18.946,21.537,20.125,20.659,20.428,19.631,21.659,259.902
