Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia,Suma
324191,271599,330604,284661,299904,310006,310126,326797,333376,356037,326132,333941,317281,3807374
105179,106392,129737,104098,112750,111481,107476,114822,118044,126264,118511,113217,113997,1367971
219012,165207,200867,180562,187154,198525,202650,211975,215332,229773,207621,220724,203284,2439402
154,137,169,143,159,162,178,161,153,173,149,151,157,1889
7747,9178,8957,7740,8278,9265,9076,8844,9114,10092,10116,12693,9258,111100
2166,2553,2278,"1593,68",1936,2340,2680,2471,2524,2883,2595,2535,2379,28555
5581,6625,6679,"6146,32",6342,6925,6396,6373,6590,7209,7521,10158,6878,82545
332092,280914,339730,292543,308341,319433,319380,335802,342643,366302,336397,346785,326696,3920362
1894445.633,1807842.422,2211048.832,1814235.974,1910229.184,2127998.83,1906200.689,1873633.84,2038444.806,2110598.887,1930727.473,1996645.719,1968504.358,23622052.290
1527551.075,1486730.118,1817245.138,1463804.141,1542611.363,1720275.997,1516958.391,1493693.294,1649235.167,1700306.140,1561152.719,1536919.448,1584706.916,19016482.991
366894.558,321112.305,393803.694,350431.833,367617.821,407722.833,389242.298,379940.547,389209.639,410292.747,369574.754,459726.271,383797.442,4605569.299
2079.722,1939.98,2581.878,2069.477,3941.856,6591.2,3553.779,5707.172,2550.015,4064.710,3042.422,2912.735,3419.579,41034.947
303937.834,404466.432,468065.96,418863.69,461227.493,574987.687,447618.981,415584.614,444285.762,521757.600,391232.838,402310.447,437861.611,5254339.338
213.114,251.377,239.004,304.254,148.11,335.807,340.972,261.806,280.135,172.991,239.675,751.543,294.899,3538.788
303724.72,404215.056,467826.956,418559.436,461079.383,574651.879,447278.009,415322.808,444005.628,521584.609,390993.162,401558.904,437566.713,5250800.550
2200463.189,2214248.834,2681696.67,2235169.141,2375398.533,2709577.717,2357373.449,2294925.626,2485280.584,2636421.197,2325002.733,2401868.901,2409785.548,28917426.575
5.844,6.656,6.688,6.373,6.369,6.864,6.147,5.733,6.115,5.928,5.920,5.979,6.204,74.617
14.523,13.974,14.007,14.062,13.682,15.431,14.114,13.009,13.971,13.466,13.173,13.575,13.901,166.988
1.675,1.944,1.961,1.941,1.964,2.054,1.921,1.792,1.807,1.786,1.780,2.083,1.888,22.707
13.505,14.16,15.277,14.472,24.792,40.686,19.965,35.448,16.667,23.495,20.419,19.290,21.723,258.176
39.233,44.069,52.257,54.117,55.717,62.06,49.319,46.991,48.748,51.700,38.675,31.695,47.294,574.581
2.066,1.969,0.105,0.191,0.077,0.144,0.127,0.106,0.111,0.060,0.092,0.296,0.124,1.506
39.734,44.663,70.044,68.099,72.703,82.982,69.931,65.169,67.376,72.352,51.987,39.531,63.611,775.609
6.626,7.882,7.894,7.64,7.704,8.482,7.381,6.834,7.253,7.197,6.911,6.926,7.376,88.732
