Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia,Suma
44789,47759,61680,54115,53230,59394,53700,54757,65039,64158,61794,64678,57091.083,685093
25093,28548,39808,33528,32537,36136,32030,31556,40810,40556,37361,35568,34460.917,413531
19696,19211,21872,20587,20693,23258,21670,23201,24229,23602,24433,29110,22630.167,271562
66,64,65,73,68,75,77,94,81,72,62,68,72.083,865
2717,3357,2981,2941,3047,3288,2965,3200,3190,3313,3265,4441,3225.417,38705
47572,51180,64726,57129,56345,62757,56742,58051,68310,67543,65121,69187,60388.583,724663
879001.267,983486.05,1169031.07,1038627.625,1115314.008,1301866.92,1148041.288,1179497.393,1257375.169,1248461.58,1185472.578,1152915.426,1138257.531,13659090.374
787023.984,891402.737,1066681.39,942824.722,1020270.053,1192265.469,1049406.129,1075402.834,1147268.009,1136097.391,1069036.844,1027826.706,1033792.189,12405506.268
91977.284,92083.313,102349.679,95802.903,95043.955,109601.45,98635.159,104094.56,110107.16,112364.189,116435.735,125088.72,104465.342,1253584.107
1097.954,1665.687,1693.194,1391.8,2376.187,3117.17,1914.005,2438.994,2478.95,1589.949,1793.589,1972.929,1960.867,23530.408
38049.309,46634.695,46451.889,48342.13,50427.6,49738.084,53166.8,81588.338,61361.561,59590.61,50489.898,58654.637,53707.963,644495.551
918148.53,1031786.432,1217176.153,1088361.555,1168117.795,1354722.174,1203122.093,1263524.725,1321215.68,1309642.139,1237756.065,1213542.992,1193926.361,14327116.333
19.625,20.593,18.953,19.193,20.953,21.919,21.379,21.541,19.333,19.459,19.184,17.825,19.996,239.957
31.364,31.225,26.796,28.121,31.357,32.994,32.763,34.079,28.112,28.013,28.614,28.898,30.195,362.336
4.67,4.793,4.679,4.654,4.593,4.712,4.552,4.487,4.544,4.761,4.766,4.297,4.626,55.508
16.636,26.026,26.049,19.066,34.944,41.562,24.857,25.947,30.604,22.083,28.929,29.014,27.143,325.717
14.004,13.892,15.583,16.437,16.55,15.127,17.931,25.496,19.236,17.987,15.464,13.208,16.743,200.915
19.3,20.16,18.805,19.051,20.732,21.587,21.203,21.766,19.341,19.39,19.007,17.54,19.823,237.882
