Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia,Suma
5965,5471,4608,4620,4595,4242,5598,4670,4408,4692,3821,4147,4736.417,56837
45,41,42,42,40,41,52,53,52,49,41,43,45.083,541
327,301,292,122,87,145,239,288,207,212,173,289,223.5,2682
6337,5813,4942,4784,4722,4428,5889,5011,4667,4953,4035,4479,5005,60060
483825.172,427283.851,372682.373,404214.062,378472.123,359060.853,403611.663,381141.936,340838.035,372432.693,314344.087,302848.05,378396.242,4540754.898
2325.349,2573.753,2534.707,2227.219,2339.472,2056.438,2073.098,3106.6,1551.526,1939.109,2036.007,1985.696,2229.081,26748.974
31364.053,21975.622,20674.626,15352.49,15673.971,16442.107,20720.756,21995.946,17385.234,16733.615,15880.501,21369.817,19630.728,235568.738
517514.574,451833.226,395891.706,421793.772,396485.566,377559.399,426405.517,406244.483,359774.795,391105.417,332260.595,326203.563,400256.051,4803072.613
81.111,78.1,80.877,87.492,82.366,84.644,72.099,81.615,77.323,79.376,82.267,73.028,80.025,960.298
51.674,62.774,60.35,53.029,58.487,50.157,39.867,58.615,29.837,39.574,49.659,46.179,50.017,600.202
95.915,73.009,70.804,125.84,180.161,113.394,86.698,76.375,83.987,78.932,91.795,73.944,95.904,1150.854
81.666,77.728,80.108,88.168,83.966,85.266,72.407,81.071,77.089,78.963,82.345,72.83,80.134,961.607
