Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia,Suma
64925,62401,82124,64481,75553,76839,71306,68896,72348,76634,77665,77845,72584.75,871017
38890,39512,54481,39777,49346,50423,44990,42011,45249,46450,47123,43738,45165.833,541990
26035,22889,27643,24704,26207,26416,26316,26885,27099,30184,30542,34107,27418.917,329027
70,73,80,84,92,92,104,108,96,96,92,95,90.167,1082
3178,3627,3376,3487,3583,3549,3222,3694,3598,4065,3987,4895,3688.417,44261
68173,66101,85580,68052,79228,80480,74632,72698,76042,80795,81744,82835,76363.333,916360
1244427.35,1362420.682,1547945.664,1195893.292,1410561.657,1361141.092,1218776.769,1094677.219,1340150.097,1398260.052,1334626.48,1459533.616,1330701.164,15968413.97
1126277.115,1254853.555,1420114.283,1083129.486,1293726.986,1236959.512,1096968.028,967811.871,1216283.131,1261617.539,1196925.25,1306972.011,1205136.564,14461638.767
118150.235,107567.127,127831.382,112763.807,116834.672,124181.58,121808.741,126865.348,123866.966,136642.513,137701.23,152561.605,125564.6,1506775.206
1852.093,2308.348,2607.301,2559.674,3580.403,4062.717,6047.178,7744.035,4331.343,2846.237,4822.961,3916.287,3889.881,46678.577
52260.311,62566.477,81720.92,117817.132,103562.53,65768.101,67447.133,126022.605,131813.606,184964.493,158310.108,118386.143,105886.63,1270639.559
1298539.755,1427295.507,1632273.885,1316270.099,1517704.591,1430971.91,1292271.08,1228443.859,1476295.046,1586070.782,1497759.549,1581836.046,1440477.676,17285732.109
19.167,21.833,18.849,18.546,18.67,17.714,17.092,15.889,18.524,18.246,17.184,18.749,18.333,220.463
28.961,31.759,26.066,27.23,26.217,24.532,24.382,23.037,26.88,27.161,25.4,29.882,26.682,321.507
4.538,4.7,4.624,4.565,4.458,4.701,4.629,4.719,4.571,4.527,4.509,4.473,4.579,55.014
26.458,31.621,32.591,30.472,38.917,44.16,58.146,71.704,45.118,29.648,52.423,41.224,43.141,502.482
16.444,17.25,24.206,33.788,28.904,18.531,20.933,34.115,36.635,45.502,39.707,24.185,28.708,340.2
19.048,21.593,19.073,19.342,19.156,17.78,17.315,16.898,19.414,19.631,18.323,19.096,18.863,226.669
