Styczeń,Luty,Marzec,Kwiecień,Maj,Czerwiec,Lipiec,Sierpień,Wrzesień,Październik,Listopad,Grudzień,Średnia
95677,92152,91435,98193,89928,99063,108910,98931,114989,124679,97124,108128,101600.75
57949,56424,54751,57875,52354,58711,64741,60241,70993,76351,57742,58384,60543
37728,35728,36684,40318,37574,40352,44169,38690,43996,48328,39382,49744,41057.75
106,96,90,97,88,106,128,105,109,119,85,78,100.583
4146,4840,4232,4307,4318,4549,4635,4058,4702,4921,4714,6169,4632.583
99929,97088,95757,102597,94334,103718,113673,103094,119800,129719,101923,114375,106333.917
1423774.309,1349528.864,1446024.948,1568240.65,1460988.94,1504869.893,1563396.295,1570694.868,1900740.942,1626961.454,1222844.316,1202346.523,1486701
1266119.605,1205864.53,1299871.993,1398405.264,1306963.73,1326863.521,1371695.298,1406059.692,1714360.646,1428146.961,1058770.349,989524.941,1314387.211
157654.704,143664.334,146152.956,169835.386,154025.21,178006.371,191700.997,164635.176,186380.296,198814.494,164073.966,212821.582,172313.789
4805.183,3983.389,4203.929,2536.042,4242.407,5133.113,3725.495,6117.464,3712.47,3918.204,3118.411,3295.322,4065.952
189275.789,183318.164,130249.048,142027.492,134830.679,151289.879,166489.72,167898.819,214989.9,227490.57,231086.074,266022.182,183747.36
1617855.282,1536830.417,1580477.926,1712804.184,1600062.027,1661292.885,1733611.511,1744711.151,2119443.312,1858370.228,1457048.801,1471664.027,1674514.313
14.881,14.645,15.815,15.971,16.246,15.191,14.355,15.877,16.53,13.049,12.591,11.12,14.633
21.849,21.371,23.742,24.163,24.964,22.6,21.187,23.341,24.148,18.705,18.336,16.949,21.71
4.179,4.021,3.984,4.212,4.099,4.411,4.34,4.255,4.236,4.114,4.166,4.278,4.197
45.332,41.494,46.71,26.145,48.209,48.426,29.105,58.262,34.059,32.926,36.687,42.248,40.424
45.653,37.876,30.777,32.976,31.225,33.258,35.92,41.375,45.723,46.229,49.021,43.122,39.664
16.19,15.829,16.505,16.694,16.962,16.017,15.251,16.923,17.692,14.326,14.296,12.867,15.748
